Nom;Origine;Type de houblon;Acide alpha min %;Acide alpha max %;Acide beta min %;Acide beta max %;Cohumulone min %;Cohumulone max %;Total des huiles min ml/100g;Total des huiles max ml/100g;Myrcène min %;Myrcène max %;Humulène min %;Humulène max %;Caryophyllène min %;Caryophyllène max %;Farnesène min %;Farnesène max %;Types de bière;Goût et odeur;Description;Variété de houblon alternative;Unnamed: 23
Amarillo;USA;Double usage;6;11;6;7;21;24;1.5;1.9;68;70;9;11;2;4;2;4;Pale Ale Américaine;Floral, Agrume, Fruits tropicaux;Variété d'houblon relativement neuve, pouvant être utilisée comme houblon amérisant ainsi que comme houblon aromatique. C'est une variété ayant un arôme corsé avec des touches florales et citriques. Souvent utilisée dans des ales et des IPAs. La variété idéale pour le 'houblonnage à sec'.;Cascade, Centennial, Chinook, Simcoe;
Aramis;FR;Arôme;6.5;8.5;3.5;5.5;21;28;1.2;1.6;<40;;<21;;<2.6;;2;4;Pale Ale Américaine, Pale Ale, Pils, Saison, Bière blanche;Agrume, Epicé;Le houblon Aramis est un houblon français de la nouvelle génération. Il offre des arômes d'agrumes épicés. Son acidité alpha est faible à moyenne. Il est parfait pour une utilisation en bière de garde ou une bière blanche.;Willamette, Challenger, Strisselspalt;
Ariana;DE;Double usage;8;14.5;3.7;6.6;40;42;2.1;2.4;<47;;<18;;<5.4;;<0.1;;Pale Ale Américaine, Pils, Saison, Bière blanche;Agrume, Fruits à noyau, Fruits tropicaux;Dérivé du houblon allemand 'Herkules'. Il offre une saveur fruitée de fruits noirs, de pêche et de fruits de la passion. Les saveurs de la bière de blé et de la saison sont accentuées grâce à ce houblon.;Mandarina Bavaria, Huell Melon Hallertau Blanc;
Azacca;USA;Double usage;10;14;4;5.5;36;40;1.0;2.0;35;50;15;24;9;14;0.1;1;Pale Ale Américaine, Pale Ale;Agrume, Pin, Pimenté, Fruits tropicaux;Azacca porte le nom du dieu haïtien de l'agriculture. C'est un houblon au double usage. Il est utilisé pour son amertume douce et son arôme d'agrumes, d'épices et de pin. Idéal pour l'élaboration de pale ales et IPAs.;Amarillo, Citra, Pekko;
Barbe Rouge;FR;Arôme;7.5;9.5;3;3.8;42.1;42.2;1.8;2.2;35;52;15;25;2.5;2.8;2.5;3.5;Altbier, Pils, Porter;Agrume, Fruité;Ce houblon est un houblon aromatique français. Il présente des arômes très fruités qui se distinguent dans la bière. Il offre des saveurs de baies rouges et de cerise, et peut être utilisé pour les bières de type Altbier, Porter et Pils.;.........;
Bobek;SVN;Arôme;3.5;7.8;4;6.1;26;31;0.7;3.0;45;57;13;19;4;6;4;7;Blonde, Pale Ale, Pils, Saison, Triple;Floral, Agrume, Fruité, Epicé;Un houblon aromatique slovène offrant des notes d'agrumes et de pamplemousse. Le houblon Bobek est idéal pour une utilisation en fin d'ébullition ou pour un 'houblonnage à sec' (dry hopping). Parfait pour l'élaboration de Pale Ales, de bières blondes, de Saisons et de Triples.;Fuggles, Willamette, Styrian Golding;
Brewers Gold;BE;Amer;4;6.5;3.7;6.8;;41;;1.8;;40;;35;;35;<1;;Blonde, Pale Ale, Porter, Quadruple, Scotch Ale, Stout, Triple;Fruité, Epicé, Pimenté;Un des houblons les plus importants pour l'amertume et le profil aromatique. Le houblon offre des arômes de fruits noirs et de cassis, en plus de notes épicées et pimentées. Il est idéal pour la fabrication de bières blondes, de Pale Ales et de Stouts.;Northern Brewer, Chinook;
Callista;DE;Arôme;2;5;5;10;15;21;0.7;1.5;<52.5;;<17.3;;<4.4;;<0.4;;Pale Ale Américaine, Pale Ale;Agrume, Fruits à noyau, Fruits tropicaux;Un houblon allemand avec une acidité alpha très faible. Il offre des arômes intenses de pêche, de fruits rouges et de fruits de la passion. Idéal pour les bières à fermentation haute ou les lagers de type 'cold-brew'.;Hallertau Tradition;
Cascade;USA;Arôme;4.5;8.9;3.6;7.5;33;40;0.8;1.5;45;60;8;16;4;6;4;8;Bière aux fruits, Pale Ale Américaine;Floral, Agrume;Un houblon américain qui a été développé dans l'Oregon en 1972. Ce houblon est très populaire pour ses arômes de pamplemousse et d'agrumes, qui sont dus à sa teneur élevée en myrcène. Idéal pour l'élaboration de Pale Ales et d'IPA. On le surnomme le “roi des houblons craft”. Sa version allemande, Hallertau Cascade, est plus douce et moins amère.;Centennial, Amarillo, Athanum;
Cashmere;USA;Double usage;7.0;10.0;5.0;7.0;20;24;0.5;1.5;25;40;20;35;10;15;0.1;0.5;Saison;Agrume, Epicé;Le houblon Cashmere, un croisement entre le houblon 'Cascade' et le houblon 'Northern Brewer', est un houblon au double usage. Il présente un arôme intense de noix de coco et d'agrumes. Il est parfait pour une utilisation en bière de garde et dans un 'houblonnage à sec' (dry hopping).;Cascade;
Centennial;USA;Double usage;8.5;12.0;3.5;5.5;23;26;1.0;3.5;60;75;7;12;3;7;0.7;1.7;Pale Ale Américaine;Floral, Agrume;Le houblon Centennial, également surnommé le 'super Cascade', est un houblon américain de l'Idaho. Il est connu pour son arôme fort et floral. Il est souvent utilisé pour des bières de type ale ou pour un 'houblonnage à sec' (dry hopping).;Chinook, Cascade, Columbus, Amarillo;
Challenger;BE;Double usage;6.5;9.3;2;4.5;20;25;1.0;1.7;30;42;25;32;8;10;1;3;Blonde, Bock, Brune, Pale Ale, Porter, Quadruple, Scotch Ale, Stout, Triple;Floral, Pin, Fruité, Pimenté;Un houblon britannique au double usage. Il est utilisé pour son amertume propre et ses arômes de fruits noirs et de pin. Il est souvent utilisé pour l'élaboration de bières blondes, de Pale Ales et de bières brunes.;Northern Brewer, Target, Hallertau Perle;
Chinook;USA;Double usage;11.0;15.0;3.0;4.5;26;31;1.0;2.5;25;40;15;20;6.5;11.0;0.8;1;Pale Ale Américaine;Agrume, Pin, Pimenté;Le houblon Chinook est un houblon américain au double usage. Il offre des arômes forts d'agrumes, de piment, d'épices et de pin. Il est utilisé pour la fabrication de Pale Ales, d'IPAs et de Saisons. Il peut être utilisé pour l'amertume ou pour l'arôme.;Columbus, Northern Brewer;
Citra;USA;Double usage;10.0;16.0;3;4.5;20;24;1.0;3.0;50;70;7;12.5;4;8.0;1;1.0;Pale Ale Américaine;Agrume, Fruité, Fruits à noyau, Fruits tropicaux;Le houblon Citra est un houblon américain au double usage, très utilisé dans les bières de la nouvelle vague. Il est connu pour ses arômes d'agrumes, de fruits de la passion et de fruits tropicaux. Il est idéal pour l'élaboration de Pale Ales, d'IPAs et de bières blondes.;Simcoe, Mosaic, Cascade, Centennial;
Citra Cryo;USA;Double usage;21;28;5;9;20;24;2.0;6.0;60;75;5;12;3;8;1.2;30.5;Pale Ale Américaine;Agrume, Fruité, Fruits à noyau, Fruits tropicaux;Le houblon Citra Cryo est une version plus concentrée du houblon Citra. Il offre des arômes intenses d'agrumes, de fruits de la passion et de fruits tropicaux. Il est idéal pour les bières à fermentation haute ou les lagers de type 'cold-brew'.;Simcoe, Mosaic, Cascade, Centennial;
Columbus;USA;Amer;14;18;4.5;6;26;30;2.0;4.0;45;60;9;14;6;10.0;1;1.0;Pale Ale Américaine;Agrume, Résineux, Epicé;Le houblon Columbus est un houblon américain au double usage, également connu sous le nom de 'Tomahawk'. Il est connu pour son arôme fort et épicé, avec des notes de pamplemousse et de pin. Il est idéal pour les Pale Ales et les IPAs.;Chinook, Hallertau Taurus (bittering);
Crystal;USA;Arôme;3.5;6.0;6.5;9.0;20;24;0.8;1.8;35;50;20;28;6;10;0.1;1.0;Pils;Floral, Epicé, Pimenté;Le houblon Crystal est un houblon américain au double usage. Il est connu pour son arôme fort et épicé, avec des notes de pamplemousse et de pin. Il est idéal pour les Pale Ales et les IPAs.;Hallertau Hersbrücker, Strisselspalt;
Ekuanot;USA;Double usage;12.9;15.7;4;5.5;30;37;2.5;4.5;30;40;17;22;9;12;0.1;1.0;Blonde, Pale Ale Américaine, Pils;Floral, Pin, Fruité, Epicé, Fruits à noyau, Fruits tropicaux;Le houblon Ekuanot est un houblon au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Huell Melon, El Dorado;
El Dorado;USA;Double usage;13;17.5;2;8.0;28;33;2.2;2.8;55;60;10;15;6;8;0.1;1.0;Blonde, Pale Ale Américaine, Pale Ale;Fruité, Fruits à noyau, Fruits tropicaux;Le houblon El Dorado est un houblon au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Ekuanot;
Elixir;FR;Arôme;5;7;4.5;5.5;25;30;1.8;2.2;70;75;;;;;0.1;0.2;Pale Ale Américaine, Pale Ale, Saison;Floral, Epicé, Fruits tropicaux;Le houblon Elixir est un houblon français au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Kazbek, Mistral;
Fuggles;FR;Arôme;4;5.5;2.1;2.8;27;33;0.44;0.83;;43.4;;27.9;;1.4;;3.3;Pale Ale Américaine, Pale Ale, Porter, Stout;Floral, Herbeux;Le houblon Fuggles est un houblon britannique au double usage. Il est connu pour ses arômes floraux et de terre. Il est idéal pour les Pale Ales, les Porters et les Stouts.;Willamette, Styrian Golding, Goldings;
Galaxy;AU;Double usage;11;16;5;6.9;32;42;;3.5;33;67;1;2;7;9;2;4;Bière aux fruits, Pale Ale Américaine, Pale Ale;Agrume, Fruité;Le houblon Galaxy est un houblon australien au double usage. Il est connu pour ses arômes d'agrumes et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières aux fruits.;Simcoe, Citra, Amarillo;
Goldings;BE;Arôme;5;6;2;3;;29;;0.85;;42;;27;;9;<1;;Blonde, Brune, Pale Ale, Porter, Quadruple, Saison, Scotch Ale, Stout, Triple;Terreux / tabac, Floral, Agrume, Pimenté;Le houblon Goldings est un houblon britannique au double usage. Il est connu pour ses arômes floraux, de terre et d'épices. Il est idéal pour les Pale Ales, les Porters et les Stouts.;Fuggles, Styrian Goldings, Willamette;
Hallertau Blanc;DE;Arôme;8.0;12.9;4.6;7.0;22;26;0.8;1.9;35;45;1;4;1;4;0.1;1.0;Blonde, Pale Ale Américaine, Saison;Agrume, Fruité, Epicé;Le houblon Hallertau Blanc est un houblon allemand au double usage. Il est connu pour ses arômes d'agrumes, de fruits tropicaux et d'épices. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Nelson Sauvin;
Hallertau Cascade;DE;Arôme;4.5;7.4;5;7;31;40;0.8;1.5;30;55;7.0;14.2;4.7;5;3.2;6.0;Bière aux fruits, Pale Ale Américaine;Floral, Agrume;Le houblon Hallertau Cascade est un houblon allemand au double usage. Il est connu pour ses arômes floraux, d'agrumes et de pamplemousse. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Centennial, Amarillo, Athanum;
Hallertau Hersbrucker;DE;Arôme;2;5;4;6;19;25;0.5;1.3;10;25;15;35;7;15;<1;;Altbier, Bock, Kölsch, Pils, Weizen;Floral, Epicé, Pimenté;Le houblon Hallertau Hersbrucker est un houblon allemand au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de blé et les bières de garde.;Hallertau Tradition, Spalt Select, Strisselspalt, Hallertau Mittelfrüh;
Hallertau Mittelfrüh;DE;Arôme;2.3;6.6;3.3;6.5;18;28;0.5;1.0;20;30;30;40;6;12;0.1;1.0;Altbier, Bock, Kölsch, Pils, Weizen;Floral, Epicé, Pimenté;Le houblon Hallertau Mittelfrüh est un houblon allemand au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de blé et les bières de garde.;Hallertau Tradition, Spalt Select, Strisselspalt, Hallertau Herbrücker;
Hallertau Perle;DE;Double usage;3;11.2;3;5.2;29;35;0.5;1.5;20;30;35;45;10;15;0.1;1.0;Altbier, Blonde, Bock, Pils, Triple, Weizen;Floral, Epicé, Pimenté;Le houblon Hallertau Perle est un houblon allemand au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de blé et les bières de garde.;Northern Brewer, Magnum, Hallertau Taurus, Herkules;
Hallertau Taurus;DE;Double usage;12;17;4;6;20;25;0.9;1.5;30;50;22;33;6;11;<1;;Altbier, Pils;Terreux / tabac, Résineux;Le houblon Hallertau Taurus est un houblon allemand au double usage. Il est connu pour ses arômes de terre, de tabac et de pin. Il est idéal pour les Pils et les bières de garde.;Magnum, Hallertau Tradition, Herkules;
Hallertau Tradition;DE;Arôme;4;7;4;5;23;29;0.9;1.9;20;25;40;55;10;15;<1;;Blonde, Pils;Floral, Herbeux, Epicé;Le houblon Hallertau Tradition est un houblon allemand au double usage. Il est connu pour ses arômes floraux, d'herbes et d'épices. Il est idéal pour les Pils et les bières blondes.;Hallertau Mittelfrüh, Tettnanger, Goldings;
Herkules;DE;Amer;12;17;4;6;32;38;1.4;2.0;30;50;28;45;7;12;<1;;Altbier, Pils;Résineux, Epicé;Le houblon Herkules est un houblon allemand au double usage. Il est connu pour ses arômes de pin et d'épices. Il est idéal pour les Pils et les bières de garde.;Magnum, Hallertau Taurus;
Huell Melon;DE;Double usage;4.9;9.5;7.3;12;25;30;0.7;2.1;35;37;10;20;5;10;<1;;Blonde, Saison, Triple;Fruité;Le houblon Huell Melon est un houblon allemand au double usage. Il est connu pour ses arômes fruités de melon et de fraise. Il est idéal pour les bières blondes, les bières de garde et les bières triples.;Mandarin Bavaria, Huell Melon Hallertau Blanc;
Idaho 7;USA;Double usage;9;14;3.5;9.1;30;40;1.0;5.0;45;55;10;15;5;8;0.1;1.0;Altbier, Blonde, Bock, Brune, Bière aux fruits, Pale Ale Américaine, Pale Ale, Pils, Porter, Quadruple, Saison, Stout, Bière blanche, Triple, Weizen;Pin, Fruits à noyau, Fruits tropicaux;Le houblon Idaho 7 est un houblon au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Azacca, El Dorado, Cashmere, Citra;
Kazbek;CZ;Double usage;5;8;4;6;30;40;0.9;1.8;40;55;20;35;10;15;<1;;Pale Ale, Pils;Agrume, Epicé, Fruits à noyau, Fruits tropicaux;Le houblon Kazbek est un houblon tchèque au double usage. Il est connu pour ses arômes d'agrumes, d'épices et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Saaz;
Krush™;USA;Double usage;10;14;3.5;9.1;30;40;1.0;5.0;45;55;10;15;5;8;0.1;1.0;Altbier, Blonde, Bock, Brune, Bière aux fruits, Pale Ale Américaine, Pale Ale, Pils, Porter, Quadruple, Saison, Stout, Bière blanche, Triple, Weizen;Pin, Fruits à noyau, Fruits tropicaux;Le houblon Krush™ est un houblon au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Azacca, El Dorado, Cashmere, Citra;
Magnum;DE;Amer;11;16;4.5;7;22;26;1.0;1.8;30;45;25;30;10;15;0.1;1.0;Blonde, Bock, Brune, IPA, Pils, Porter, Saison, Stout, Triple;Floral, Epicé, Pimenté;Le houblon Magnum est un houblon allemand au double usage. Il est connu pour ses arômes floraux, d'épices et de piment. Il est idéal pour les Pils, les bières de garde et les bières triples.;Hallertau Taurus, Northern Brewer, Herkules;
Mandarina Bavaria;DE;Arôme;7;11;5;6.5;31;35;1.0;1.5;60;65;10;15;2;5;<1;;Pale Ale Américaine, Saison,Triple;Fruité, Agrume, Mandarine;Le houblon Mandarina Bavaria est un houblon allemand au double usage. Il est connu pour ses arômes de mandarine et de fruits tropicaux. Il est idéal pour les Pale Ales, les bières de garde et les bières triples.;Mandarine Bavaria, Huell Melon Hallertau Blanc, Citra;
Mistral;FR;Arôme;5;8;4;6;21;25;1.2;2.0;40;50;15;20;5;10;<1;;Pale Ale, Saison, Triple;Fruité, Epicé, Fruits à noyau,Fruits tropicaux;Le houblon Mistral est un houblon français au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Mandarine Bavaria, Huell Melon Hallertau Blanc;
Mosaic;USA;Double usage;11;14;3.5;4.5;24;26;1.0;1.5;40;50;15;20;5;10;0.1;0.5;Pale Ale Américaine;Agrume, Fruité, Fruits à noyau, Fruits tropicaux;Le houblon Mosaic est un houblon américain au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Simcoe, Citra, Amarillo;
Mosaic Cryo Yakima;USA;Double usage;22;26;6;8;24;26;2.0;3.0;50;60;20;25;5;10;0.1;0.5;Pale Ale Américaine;Agrume, Fruité, Fruits à noyau, Fruits tropicaux;Le houblon Mosaic Cryo Yakima est un houblon américain au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Simcoe, Citra, Amarillo;
Motueka;NZ;Arôme;6;8;5;6;28;30;0.5;1.0;60;65;20;25;5;10;1;2;Pils, Lager, Pale Ale Américaine;Agrume, Epicé, Fruits à noyau, Fruits tropicaux;Le houblon Motueka est un houblon néo-zélandais au double usage. Il est connu pour ses arômes d'agrumes, d'épices et de fruits tropicaux. Il est idéal pour les Pils, les bières de garde et les bières triples.;Saaz, Wakatu;
Nectaron;NZ;Arôme;10;12;4;5;27;29;1.3;1.8;30;40;25;30;10;15;3;5;Bière aux fruits, Pale Ale, Saison;Fruits tropicaux, Pêche, Abricot;Le houblon Nectaron est un houblon néo-zélandais au double usage. Il est connu pour ses arômes de fruits tropicaux, de pêche et d'abricot. Il est idéal pour les Pale Ales, les bières de garde et les bières triples.;Ananas, Mandarine Bavaria;
